id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
1,Male,03-02-1952,15,Manager,57000,27000,98,144,No
2,Male,23-05-1958,16,Clerical,40200,18750,98,36,No
3,Female,26-07-1929,12,Clerical,21450,12000,98,381,No
4,Female,15-04-1947,8,Clerical,21900,13200,98,190,No
5,Male,09-02-1955,15,Clerical,45000,21000,98,138,No
6,Male,22-08-1958,15,Clerical,32100,13500,98,67,No
7,Male,26-04-1956,15,Clerical,36000,18750,98,114,No
8,Female,06-05-1966,12,Clerical,21900,9750,98,missing,No
9,Female,23-01-1946,15,Clerical,27900,12750,98,115,No
10,Female,13-02-1946,12,Clerical,24000,13500,98,244,No
11,Female,07-02-1950,16,Clerical,30300,16500,98,143,No
12,Male,11-01-1966,8,Clerical,28350,12000,98,26,Yes
13,Male,17-07-1960,15,Clerical,27750,14250,98,34,Yes
14,Female,26-02-1949,15,Clerical,35100,16800,98,137,Yes
15,Male,29-08-1962,12,Clerical,27300,13500,97,66,No
16,Male,17-11-1964,12,Clerical,40800,15000,97,24,No
17,Male,18-07-1962,15,Clerical,46000,14250,97,48,No
18,Male,20-03-1956,16,Manager,103750,27510,97,70,No
19,Male,19-08-1962,12,Clerical,42300,14250,97,103,No
20,Female,23-01-1940,12,Clerical,26250,11550,97,48,No
21,Female,19-02-1963,16,Clerical,38850,15000,97,17,No
22,Male,24-09-1940,12,Clerical,21750,12750,97,315,Yes
23,Female,15-03-1965,15,Clerical,24000,11100,97,75,Yes
24,Female,27-03-1933,12,Clerical,16950,9000,97,124,Yes
25,Female,01-07-1942,15,Clerical,21150,9000,97,171,Yes
26,Male,08-11-1966,15,Clerical,31050,12600,96,14,No
27,Male,19-03-1954,19,Manager,60375,27480,96,96,No
28,Male,11-04-1963,15,Clerical,32550,14250,96,43,No
29,Male,28-01-1944,19,Manager,135000,79980,96,199,No
30,Male,17-09-1961,15,Clerical,31200,14250,96,54,No
31,Male,24-02-1964,12,Clerical,36150,14250,96,83,No
32,Male,28-01-1954,19,Manager,110625,45000,96,120,No
33,Male,18-03-1961,15,Clerical,42000,15000,96,68,No
34,Male,02-02-1949,19,Manager,92000,39990,96,175,No
35,Male,22-08-1961,17,Manager,81250,30000,96,18,No
36,Female,07-08-1963,8,Clerical,31350,11250,96,52,No
37,Male,09-10-1954,12,Clerical,29100,13500,96,113,Yes
38,Male,27-04-1962,15,Clerical,31350,15000,96,49,Yes
39,Male,22-06-1960,16,Clerical,36000,15000,96,46,Yes
40,Female,28-08-1933,15,Clerical,19200,9000,96,23,Yes
41,Female,18-03-1961,12,Clerical,23550,11550,96,52,Yes
42,Male,23-09-1960,15,Clerical,35100,16500,95,90,No
43,Male,18-01-1964,12,Clerical,23250,14250,95,46,No
44,Male,15-06-1963,8,Clerical,29250,14250,95,50,No
45,Male,02-08-1938,12,Custodial,30750,13500,95,307,No
46,Female,18-11-1940,15,Clerical,22350,12750,95,165,No
47,Female,28-04-1938,12,Clerical,30000,16500,95,228,No
48,Male,07-06-1947,12,Custodial,30750,14100,94,240,No
49,Male,16-09-1958,15,Clerical,34800,16500,94,93,No
50,Male,09-02-1960,16,Manager,60000,23730,94,59,No
51,Male,08-07-1962,12,Clerical,35550,15000,94,48,No
52,Male,12-11-1963,15,Clerical,45150,15000,94,40,No
53,Male,21-04-1954,18,Manager,73750,26250,94,56,No
54,Male,04-06-1931,12,Clerical,25050,13500,94,444,No
55,Male,25-06-1960,12,Clerical,27000,15000,94,120,No
56,Male,16-04-1962,15,Clerical,26850,13500,94,5,No
57,Male,15-04-1963,15,Clerical,33900,15750,94,78,No
58,Female,14-11-1964,15,Clerical,26400,13500,94,3,No
59,Male,07-05-1961,15,Clerical,28050,14250,94,36,Yes
60,Male,16-02-1959,12,Clerical,30900,15000,94,102,Yes
61,Male,28-04-1964,8,Clerical,22500,9750,94,36,Yes
62,Male,18-07-1962,16,Manager,48000,21750,93,22,No
63,Male,20-08-1961,17,Manager,55000,26250,93,32,No
64,Male,28-09-1963,16,Manager,53125,21000,93,48,No
65,Male,28-03-1964,8,Clerical,21900,14550,93,41,No
66,Male,16-02-1962,19,Manager,78125,30000,93,7,No
67,Male,28-05-1964,16,Manager,46000,21240,93,35,No
68,Male,05-05-1963,16,Manager,45250,21480,93,36,No
69,Male,23-06-1960,16,Manager,56550,25000,93,34,No
70,Male,08-02-1962,15,Clerical,41100,20250,93,27,No
71,Male,26-08-1948,17,Manager,82500,34980,93,207,No
72,Female,07-01-1964,16,Clerical,54000,18000,93,11,No
73,Female,09-02-1968,12,Clerical,26400,10500,93,missing,No
74,Female,28-04-1933,15,Clerical,33900,19500,93,192,No
75,Female,12-08-1965,15,Clerical,24150,11550,93,missing,No
76,Female,03-09-1967,15,Clerical,29250,11550,93,11,No
77,Female,09-09-1968,12,Clerical,27600,11400,93,6,No
78,Female,20-08-1968,12,Clerical,22950,10500,93,10,No
79,Female,23-01-1962,16,Clerical,34800,14550,93,8,No
80,Female,25-05-1961,16,Clerical,51000,18000,93,22,No
81,Female,12-03-1968,12,Clerical,24300,10950,93,5,No
82,Female,28-08-1947,12,Clerical,24750,14250,93,193,Yes
83,Female,12-10-1967,12,Clerical,22950,11250,93,missing,Yes
84,Female,12-03-1967,8,Clerical,25050,10950,93,8,Yes
85,Male,09-04-1962,15,Clerical,25950,17100,92,42,No
86,Male,25-08-1961,15,Clerical,31650,15750,92,64,No
87,Male,20-10-1959,12,Clerical,24150,14100,92,130,No
88,Male,10-02-1962,19,Manager,72500,28740,92,10,No
89,Male,24-06-1961,19,Manager,68750,27480,92,8,No
90,Female,27-02-1938,8,Clerical,16200,9750,92,missing,No
91,Female,04-11-1967,12,Clerical,20100,11250,92,24,No
92,Female,25-06-1968,8,Clerical,24000,10950,92,6,No
93,Female,05-03-1968,12,Clerical,25950,10950,92,missing,No
94,Female,04-08-1950,12,Clerical,24600,10050,92,44,No
95,Female,08-08-1968,12,Clerical,28500,10500,92,6,No
96,Male,02-10-1933,8,Custodial,30750,15000,92,432,Yes
97,Male,18-01-1953,17,Clerical,40200,19500,92,168,Yes
98,Male,17-05-1956,8,Custodial,30000,15000,92,144,Yes
99,Female,07-07-1968,12,Clerical,22050,10950,92,5,Yes
100,Male,25-10-1963,18,Manager,78250,27480,91,47,No
101,Male,14-03-1960,16,Manager,60625,22500,91,44,No
102,Male,28-03-1963,14,Clerical,39900,15750,91,59,No
103,Male,17-03-1959,19,Manager,97000,35010,91,68,No
104,Male,05-11-1962,15,Clerical,27450,15750,91,48,No
105,Male,07-03-1966,15,Clerical,31650,13500,91,18,No
106,Male,04-08-1962,19,Manager,91250,29490,91,23,No
107,Female,16-08-1960,12,Clerical,25200,14400,91,83,No
108,Female,16-07-1930,12,Clerical,21000,11550,91,108,No
109,Male,10-11-1963,12,Clerical,30450,15000,91,49,Yes
110,Male,29-10-1952,15,Clerical,28350,18000,91,151,Yes
111,Male,27-11-1940,12,Custodial,30750,9000,91,314,Yes
112,Male,21-06-1948,12,Custodial,30750,15000,91,240,Yes
113,Male,06-10-1959,16,Manager,54875,27480,90,68,No
114,Male,25-08-1961,14,Clerical,37800,16500,90,60,No
115,Male,12-05-1961,15,Clerical,33450,14100,90,85,No
116,Male,09-06-1962,15,Clerical,30300,16500,90,16,No
117,Female,14-01-1932,12,Clerical,31500,18750,90,205,No
118,Female,04-03-1964,12,Clerical,31650,14250,90,48,No
119,Female,23-07-1963,12,Clerical,25200,14100,90,55,No
120,Female,12-11-1964,16,Manager,37800,15750,90,7,No
121,Female,06-08-1936,15,Clerical,18750,10500,90,54,No
122,Female,26-09-1965,15,Clerical,32550,13500,90,22,No
123,Female,24-04-1949,12,Clerical,33300,15000,90,3,No
124,Female,29-05-1963,16,Clerical,38550,16500,90,missing,No
125,Male,06-08-1956,12,Clerical,27450,15000,90,173,Yes
126,Male,21-01-1951,15,Custodial,24300,15000,90,191,Yes
127,Male,01-09-1950,12,Custodial,30750,15000,90,209,Yes
128,Female,25-07-1946,12,Clerical,19650,9750,90,229,Yes
129,Male,18-07-1959,17,Manager,68750,27510,89,38,No
130,Male,06-09-1958,20,Manager,59375,30000,89,6,No
131,Male,08-02-1962,15,Clerical,31500,15750,89,22,No
132,Male,17-05-1953,12,Clerical,27300,17250,89,175,No
133,Male,12-09-1959,15,Clerical,27000,15750,89,87,No
